,Week14,Enf14,Week15,Enf15,Week16,Enf16,Week17,Enf17,Week18,Enf18,Week19,Enf19
1,1,7,1,9,1,3,1,9,1,3,1,0
2,2,73,2,5,2,3,2,40,2,26,2,24
3,3,152,3,10,3,63,3,35,3,62,3,9
4,4,48,4,6,4,41,4,12,4,11,4,6
5,5,0,5,3,5,31,5,38,5,6,5,3
6,6,52,6,7,6,30,6,29,6,4,6,11
7,7,30,7,9,7,68,7,59,7,24,7,4
8,8,13,8,11,8,61,8,32,8,16,8,5
9,9,39,9,7,9,90,9,20,9,7,9,10
10,10,173,10,6,10,55,10,37,10,7,10,21
11,11,85,11,18,11,69,11,44,11,21,11,34
12,12,10,12,76,12,166,12,35,12,49,12,10
13,13,60,13,162,13,17,13,32,13,72,13,2
14,14,82,14,40,14,20,14,17,14,0,14,28
15,15,316,15,54,15,48,15,149,15,17,15,33
16,16,121,16,29,16,16,16,4,16,36,16,56
17,17,66,17,64,17,44,17,37,17,72,17,6
18,18,49,18,41,18,14,18,18,18,24,18,12
19,19,10,19,32,19,21,19,8,19,1,19,15
20,20,30,20,12,20,39,20,18,20,22,20,7
21,21,41,21,41,21,11,21,72,21,20,21,30
22,22,65,22,93,22,65,22,16,22,103,22,12
23,23,1,23,106,23,2,23,35,23,45,23,14
24,24,1,24,84,24,40,24,15,24,45,24,20
25,25,239,25,0,25,23,25,24,25,28,25,9
26,26,48,26,0,26,10,26,113,26,31,26,32
27,27,45,27,31,27,37,27,10,27,0,27,10
28,28,22,28,28,28,6,28,19,28,77,28,5
29,29,6,29,4,29,69,29,58,29,16,29,17
30,30,10,30,31,30,37,30,53,30,43,30,65
31,31,0,31,55,31,3,31,96,31,24,31,3
32,32,23,32,43,32,57,32,5,32,42,32,29
33,33,31,33,66,33,85,33,76,33,45,33,21
34,34,74,34,24,34,81,34,36,34,30,34,30
35,35,46,35,91,35,86,35,129,35,51,35,78
40,40,233,40,121,40,74,40,41,40,29,40,81
41,41,288,41,2,41,40,41,99,41,48,41,191
42,42,104,42,33,42,53,42,67,42,26,42,164
43,43,592,43,73,43,5,43,88,43,43,43,0
44,44,40,44,82,44,0,44,17,44,33,44,0
45,45,73,45,85,45,0,45,51,45,33,45,0
46,46,227,46,151,46,0,46,40,46,41,46,3
47,47,219,47,67,47,43,47,103,47,26,47,0
48,48,118,48,76,48,12,48,74,48,18,48,0
49,49,35,49,69,49,47,49,2,49,1,49,52
50,50,28,50,110,50,26,50,4,50,57,50,52
51,51,8,51,82,51,34,51,4,51,26,51,32
52,0,0,52,61,52,55,52,2,52,6,52,11
