"","2019","2018","2017","2016","2015","2014","mean","mean_p_std","mean_m_std"
"1",395,114,373,327,453,1294,493,902.487810156379,83.5121898436211
"2",558,1109,1116,1348,380,3036,1258,2203.79414603108,312.205853968916
"3",1003,1120,977,1029,159,1572,977,1434.59749416563,519.402505834367
"4",698,1452,567,1203,152,2536,1101,1942.54564146377,259.454358536231
"5",426,300,1176,1090,256,1927,862,1518.95958779821,205.040412201785
"6",1605,506,922,1305,484,1982,1134,1739.31215087755,528.687849122455
"7",2221,1561,1057,1788,390,1308,1388,2019.78817652754,756.211823472455
"8",1365,640,775,1061,528,1819,1031,1521.88192741908,540.118072580924
"9",1144,1043,1013,1823,355,1446,1137,1627.27774441297,646.722255587033
"10",1345,1723,1701,1680,751,739,1323,1791.84044905134,854.159550948655
"11",494,832,1276,1753,1780,1782,1320,1874.05550263489,765.944497365111
"12",1081,1885,1218,8880,1288,2036,2731,5767.53945580601,-305.539455806011
"13",894,12801,928,21,8305,2576,4254,9402.74079427841,-894.740794278409
"14",1371,272,2208,891,2149,2375,1544,2389.19859599189,698.801404008107
"15",1486,851,7475,1392,601,5979,2964,5935.31459122053,-7.31459122052593
"16",7638,1071,3,697,572,2720,2117,4973.97696292194,-739.976962921939
"17",910,759,1665,1066,832,897,1022,1353.30695736733,690.693042632667
"18",1712,753,594,622,973,906,927,1340.0305880521,513.969411947896
"19",417,858,834,877,312,643,657,900.700977976426,413.299022023574
"20",1338,1151,301,803,521,992,851,1241.06512276798,460.934877232019
"21",3597,1326,2057,733,1003,1334,1675,2715.86867567431,634.131324325686
"22",886,917,334,1522,2190,583,1072,1749.46734238633,394.532657613668
"23",1080,1041,1346,761,1728,632,1098,1496.17131991142,699.828680088583
"24",2593,651,662,2293,1564,1372,1522,2329.95860042455,714.041399575449
"25",303,887,687,1056,135,1805,812,1409.36836764819,214.631632351807
"26",1706,920,2112,985,909,953,1264,1780.4089142014,747.591085798602
"27",1832,0,0,2348,412,630,870,1859.04917302764,-119.049173027644
"28",1194,2173,1259,413,659,1341,1173,1785.83877705859,560.161222941411
"29",1326,1309,3011,2030,615,735,1504,2398.32827679028,609.671723209723
"30",2811,1809,449,2081,790,976,1486,2384.20532173885,587.794678261145
"31",2242,1111,2550,1178,1927,824,1639,2336.42430891579,941.57569108421
"32",3254,3848,1046,1776,981,1458,2060,3264.82990500734,855.170094992658
"33",2149,2249,1826,1809,3023,1123,2030,2656.30293522118,1403.69706477882
"34",1391,3464,2300,4371,2391,4675,3099,4386.78207266085,1811.21792733915
"35",2732,6426,4616,5553,4673,3102,4517,5926.97617001139,3107.02382998861
"36",6328,3836,2379,3171,6313,6457,4747,6579.87410005889,2914.12589994112
"37",4146,2035,3764,2017,2099,2482,2757,3707.87778745045,1806.12221254955
"38",4581,2847,1858,1724,2484,2734,2705,3731.54676789061,1678.45323210939
"39",2363,2295,3941,514,2688,3050,2475,3607.75017840063,1342.24982159937
"40",2036,2135,3474,502,2201,1414,1960,2940.87280860806,979.127191391939
"41",678,2634,3133,309,2225,1048,1671,2819.99528574606,522.004714253942
"42",1000,2593,2120,598,2220,1167,1616,2414.84182831564,817.158171684365
"43",1403,3262,5367,3012,3420,1207,2945,4467.8325471524,1422.1674528476
"44",4302,3985,2502,1419,4415,579,2867,4489.98034492103,1244.01965507897
"45",3156,3438,4372,2968,4029,145,3018,4521.82911263215,1514.17088736785
"46",3130,3751,3187,3537,5103,683,3232,4672.33724060258,1791.66275939742
"47",4827,4071,2973,4140,5142,657,3635,5274.74156500346,1995.25843499654
"48",7636,4200,10322,5574,4062,1199,5499,8663.68301203559,2334.31698796441
"49",831,458,NA,1002,1718,2,802,1441.96734291681,162.032657083191
