"","V1","V2"
"1",5.16666666666667,1.33333333333333
"2",28.5,4
"3",55.1666666666667,6
"4",20.6666666666667,4.5
"5",13.5,2.33333333333333
"6",22.1666666666667,4.16666666666667
"7",32.3333333333333,5
"8",23,5.5
"9",28.8333333333333,4.83333333333333
"10",49.8333333333333,4.83333333333333
"11",45.1666666666667,5.66666666666667
"12",57.6666666666667,9.66666666666667
"13",57.5,9.33333333333333
"14",31.1666666666667,4.16666666666667
"15",102.833333333333,11.8333333333333
"16",43.6666666666667,6.16666666666667
"17",48.1666666666667,6.33333333333333
"18",26.3333333333333,3.16666666666667
"19",14.5,3.16666666666667
"20",21.3333333333333,4.33333333333333
"21",35.8333333333333,6
"22",59,5.66666666666667
"23",33.8333333333333,4.33333333333333
"24",34.1666666666667,5.66666666666667
"25",53.8333333333333,2.66666666666667
"26",39,4.33333333333333
"27",22.1666666666667,2.16666666666667
"28",26.1666666666667,3.33333333333333
"29",28.3333333333333,3.83333333333333
"30",39.8333333333333,5.33333333333333
"31",30.1666666666667,3.66666666666667
"32",33.1666666666667,4.83333333333333
"33",54,7.16666666666667
"34",45.8333333333333,8.5
"35",80.1666666666667,10.8333333333333
"36",96.5,7.5
"37",111.333333333333,7.5
"38",74.5,7.33333333333333
"39",133.5,7.16666666666667
"40",28.6666666666667,3
"41",40.3333333333333,4
"42",77,4.83333333333333
"43",76.3333333333333,7.33333333333333
"44",49.6666666666667,4.33333333333333
"45",34.3333333333333,3.5
"46",46.1666666666667,5.83333333333333
"47",31,5.5
"48",22.5,3.5
"49",0.333333333333333,0.333333333333333
